Pregunta,OpcionA,OpcionB,OpcionC,OpcionD,RespuestaCorrecta
¿En qué ciudad nació Lionel Messi?,Rosario,Buenos Aires,Córdoba,Santa Fe,1
¿Cuál es la capital de Argentina?,Buenos Aires,Córdoba,Rosario,La Plata,1
¿En qué año ganó Argentina su primer mundial de fútbol?,1978,1986,2002,1974,1
¿Quién es conocido como el 'Padre de la Patria' en Argentina?,Juan Manuel de Rosas,José de San Martín,Manuel Belgrano,Domingo F. Sarmiento,2
¿Cuál es el pico más alto de Argentina?,Cerro Aconcagua,Cerro Tronador,Cerro Fitz Roy,Volcán Llullaillaco,1
¿Qué río separa a Argentina de Uruguay?,Río Paraná,Río Colorado,Río de la Plata,Río Uruguay,3
¿Quién compuso la canción 'Gracias a la Vida'?,Mercedes Sosa,Charly García,Violeta Parra,Atahualpa Yupanqui,3
¿En qué año fue elegido presidente Néstor Kirchner?,2000,2003,2007,1999,2
¿En qué provincia se encuentra la ciudad de Ushuaia?,Santa Cruz,Chubut,Tierra del Fuego,Río Negro,3
¿Qué moneda se utiliza en Argentina?,Dólar,Peso,Real,Euro,2
¿Qué famoso cantante argentino popularizó el tango?,Astor Piazzolla,Carlos Gardel,Sandro,Roberto Goyeneche,2
¿Cuál es la danza tradicional de Argentina?,Salsa,Cumbia,Tango,Folklore,3
¿Cuál es el nombre del famoso glaciar en la Patagonia?,Perito Moreno,Martial,Upsala,Spegazzini,1
¿Quién es el autor de 'Martín Fierro'?,Jorge Luis Borges,José Hernández,Julio Cortázar,Adolfo Bioy Casares,2
¿Cuál es la montaña más alta de América del Sur?,Cerro Bonete,Monte Pissis,Aconcagua,Nevado Ojos del Salado,3
¿Qué bebida es famosa en Argentina?,Tequila,Mate,Pisco,Fernet,2
¿Cuál es el nombre del teatro más famoso de Buenos Aires?,Teatro Colón,Teatro Gran Rex,Teatro Nacional,Teatro Maipo,1
¿Cuál es la Avenida más ancha del mundo ubicada en Buenos Aires?,Avenida de Mayo,Avenida Corrientes,Avenida 9 de Julio,Avenida Santa Fe,3
¿Qué prócer argentino creó la bandera?,Domingo Sarmiento,José de San Martín,Manuel Belgrano,Bernardino Rivadavia,3
¿Qué actriz argentina fue esposa de Juan Domingo Perón?,Tita Merello,Eva Perón,Libertad Lamarque,Mecha Ortiz,2
¿En qué año fue la Guerra de las Malvinas?,1980,1982,1984,1976,2
¿Cuál es el nombre del equipo de fútbol conocido como 'La Academia'?,Boca Juniors,Racing Club,River Plate,Independiente,2
¿En qué provincia se encuentra la ciudad de Mendoza?,Santa Fe,San Juan,Mendoza,La Rioja,3
¿Cuál es el ave nacional de Argentina?,Cóndor,Ñandú,Hornero,Águila Mora,3
¿Qué escritora argentina ganó el Premio Cervantes en 2018?,Silvina Ocampo,María Elena Walsh,María Teresa Andruetto,Olga Orozco,3
¿Qué ciudad argentina es conocida por sus cataratas?,Misiones,Puerto Iguazú,Cataratas de Córdoba,Salta,2
¿En qué fecha se celebra el Día de la Independencia Argentina?,25 de Mayo,9 de Julio,20 de Junio,17 de Agosto,2
¿Cuál fue el primer nombre de la Argentina como país independiente?,Provincias Unidas del Río de la Plata,Confederación Argentina,República Argentina,Virreinato del Río de la Plata,1
¿Quién fue el primer premio Nobel de la Paz argentino?,Carlos Saavedra Lamas,Adolfo Pérez Esquivel,Bernardo Houssay,Luis Federico Leloir,1
¿Qué general cruzó los Andes para liberar Chile y Perú?,Manuel Belgrano,Martín Güemes,José de San Martín,Juan Lavalle,3
¿En qué provincia se encuentra el Parque Nacional Los Glaciares?,Santa Cruz,Chubut,Tierra del Fuego,Neuquén,1
¿Cuál es el deporte nacional de Argentina?,Fútbol,Pato,Básquet,Polo,2
¿En qué año se fundó la ciudad de Buenos Aires por segunda y definitiva vez?,1536,1580,1610,1776,2
¿Quién fue la figura central de la Revolución de Mayo de 1810?,Mariano Moreno,Juan José Castelli,Cornelio Saavedra,Juan José Paso,3
¿Cuál es la provincia argentina más grande en extensión territorial?,Buenos Aires,Córdoba,Santa Cruz,Salta,3
¿Qué presidente argentino impulsó la Ley Sáenz Peña?,Roque Sáenz Peña,Hipólito Yrigoyen,Julio Argentino Roca,Arturo Illia,1
¿Qué ciudad argentina es famosa por su chocolatería y sus paisajes de lagos?,Bariloche,Mendoza,Ushuaia,San Martín de los Andes,1
¿En qué año Argentina fue sede del Mundial de Fútbol por primera vez?,1978,1986,2002,1974,1
¿Qué importante tratado se firmó en 1829 entre Lavalle y Rosas?,Tratado de Pilar,Pacto de Cañuelas,Pacto Federal,Acuerdo de San Nicolás,2
¿Quién fue la primera presidenta de Argentina?,María Estela Martínez de Perón,Cristina Fernández de Kirchner,Eva Perón,Isabel Perón,1
¿En qué año se inauguró el Obelisco de Buenos Aires?,1930,1936,1940,1925,2
¿Qué ciudad argentina es conocida como la 'Capital Nacional del Tango'?,Rosario,Córdoba,Buenos Aires,Mar del Plata,3
¿Quién fue el líder indígena que luchó contra la conquista española en el norte argentino?,Tupac Amaru,Calfucurá,Atahualpa,Lautaro,2
¿En qué provincia argentina se encuentran las Salinas Grandes?,Jujuy,Salta,Córdoba,Catamarca,1
¿Qué famoso escritor argentino es autor de 'El Aleph' y 'Ficciones'?,Julio Cortázar,Jorge Luis Borges,Ernesto Sábato,Leopoldo Lugones,2
¿Cuál es el nombre del desierto más grande de Argentina?,Desierto de Monte,Desierto de Patagonia,Puna de Atacama,Gran Chaco,1
¿Qué instrumento musical es emblemático del tango argentino?,Guitarra,Bandoneón,Violín,Contrabajo,2
¿En qué año se estableció el voto femenino en Argentina?,1912,1947,1951,1930,2
¿Qué movimiento artístico y literario fue impulsado en Argentina por el Grupo Florida?,Realismo,Boom latinoamericano,Vanguardismo,Naturalismo,3
¿Quién fue el primer gobernador de la Provincia de Buenos Aires después de la Revolución de Mayo?,Martín Rodríguez,Manuel Dorrego,Juan Martín de Pueyrredón,Bernardino Rivadavia,4
¿En qué batalla fue derrotado Juan Manuel de Rosas; que marcó el fin de su gobierno?,Batalla de Caseros,Batalla de Vuelta de Obligado,Batalla de Pavón,Batalla de Tucumán,1
¿Qué presidente argentino fue derrocado por la Revolución Libertadora en 1955?,Hipólito Yrigoyen,Juan Domingo Perón,Arturo Frondizi,Raúl Alfonsín,2
¿Cuál es el nombre del ferrocarril que une Salta con la Puna; famoso por su ingeniería?,Tren a las Nubes,Tren Patagónico,Tren del Fin del Mundo,Tren Histórico a Vapor,1
¿Qué importante figura fue clave en la Reforma Universitaria de 1918 en Córdoba?,Deodoro Roca,José Ingenieros,Ricardo Rojas,Leopoldo Lugones,1
